년도,행정구역읍면동코드,행정구역읍면동명,노인인구수,노인인구증감율,미성년자인구수,미성년자인구증감율,여자인구수,여자인구수증감율
2021,11380,은평구,87038,2.39,64863,-5.14,246849,-1.08
2021,1138051000,녹번동,7017,2.57,4544,-5.82,19373,-1.04
2021,1138052000,불광제1동,7706,0.4,4744,-6.83,20351,-2.73
2021,1138053000,불광제2동,5937,1.26,2657,-9.93,14215,-2.88
2021,1138055100,갈현동,4373,-0.34,2302,-11.26,11204,-5.68
2021,1138055200,갈현동,4998,2.23,3699,-8.42,14861,-2.26
2021,1138056000,구산동,6228,1.6,4409,-5.75,16430,-0.22
2021,1138057000,대조동,5146,3.21,2579,-9.48,14384,-1.07
2021,1138058000,응암동,5158,7.46,5190,6.24,17343,6.61
2021,1138059000,응암동,3986,6.21,5564,0.54,14365,1.38
2021,1138060000,응암동,5575,-0.36,2393,-8.87,12482,-3.23
2021,1138062500,역촌동,8427,1.6,5668,-8.77,24063,-2.0
2021,1138063100,신사동,4956,2.95,3448,-7.88,13996,-1.69
2021,1138063200,신사동,3861,0.47,2575,-7.31,10114,-2.92
2021,1138064000,증산동,3144,1.52,1785,-8.23,7636,-2.96
2021,1138065000,수색동,2220,9.63,1793,24.17,6438,13.75
2021,1138069000,진관동,8306,3.6,11513,-5.51,29594,-2.19
2021,11410,서대문구,53822,0.12,41374,-5.53,159125,-2.27
2021,1141052000,천연동,3212,-2.37,2525,-7.48,9000,-3.74
2021,1141055500,북아현동,2241,-3.07,2401,-4.87,8286,-4.69
2021,1141056500,충현동,3399,-1.73,2455,-5.76,10548,-2.25
2021,1141058500,신촌동,2099,-4.16,1555,-2.57,10996,3.01
2021,1141061500,연희동,5906,-2.72,3833,-7.57,18239,-3.31
2021,1141062000,홍제동,4563,1.54,3269,-5.25,12586,-2.44
2021,1141064000,홍제동,3640,0.83,1754,-7.64,7926,-2.82
2021,1141065500,홍제동,2740,0.77,1741,-8.85,7232,-2.99
2021,1141066000,홍제동,4574,2.24,3114,-4.86,11740,-1.3
2021,1141068500,홍제동,5159,2.77,3251,-6.15,13700,-1.82
2021,1141069000,남가좌제1동,2158,1.36,3511,-2.61,8025,-2.64
2021,1141070000,남가좌제2동,4833,0.29,4980,-2.1,15364,-1.25
2021,1141071000,북가좌동,2954,1.62,3238,-4.54,9333,-2.22
2021,1141072000,북가좌동,6344,1.31,3747,-8.97,16150,-3.48
2021,11440,마포구,54231,0.42,51366,-3.58,195401,-0.68
2021,1144055500,아현동,3120,-0.57,4399,-1.43,13401,-2.13
2021,1144056500,공덕동,5884,0.48,4397,-4.39,19704,-2.07
2021,1144058500,도화동,3696,-0.22,2967,-4.81,11060,-2.13
2021,1144059000,용강동,2936,0.24,4185,-2.42,11383,-1.51
2021,1144060000,대흥동,2056,-2.0,1466,-6.45,7494,0.63
2021,1144061000,염리동,2089,19.92,3016,44.44,8724,38.98
2021,1144063000,신수동,3237,-3.72,3509,-2.85,11535,-3.14
2021,1144065500,서강동,3218,1.48,3432,-4.96,13075,1.13
2021,1144066000,서교동,3315,-3.94,1922,-6.61,13443,-2.33
2021,1144068000,합정동,2637,-1.9,1783,-13.99,9289,-4.77
2021,1144069000,망원제1동,3363,-0.83,2201,-7.29,10663,-3.29
2021,1144070000,망원제2동,3116,1.4,2587,-6.44,9842,-2.2
2021,1144071000,연남동,2306,-5.8,1303,-9.32,7862,-4.47
2021,1144072000,성산제1동,2934,-0.2,2264,-7.55,10018,-2.3
2021,1144073000,성산제2동,6275,2.77,5571,-7.27,21722,-1.23
2021,1144074000,상암동,4049,3.69,6364,-5.87,16186,-1.44
2021,11470,양천구,68483,4.49,79006,-4.15,228088,-1.44
2021,1147051000,목동,3272,5.14,7826,-3.61,15977,-2.66
2021,1147052000,목동,4173,2.2,4008,-6.46,15341,-1.97
2021,1147053000,목동,3364,3.22,2705,-7.46,11407,-2.85
2021,1147054000,목동,3274,3.09,4471,-6.64,12976,-2.3
2021,1147055000,목동,4698,9.08,10527,-4.65,20784,-2.49
2021,1147056000,신월1동,4248,4.32,2157,-7.54,9932,-2.46
2021,1147057000,신월2동,3912,2.92,3064,-4.9,10569,-2.86
2021,1147058000,신월3동,3016,2.27,1861,-8.77,7182,-3.65
2021,1147059000,신월4동,3308,4.29,2923,-6.19,9167,-2.04
